,CCN,S_005_01_DTC_RS_RATE _97_5,S_004_01_PPR_PD_OBS_READM,S_004_01_PPR_PD_RSRR_97_5,S_004_01_PPR_PD_RSRR_2_5,S_013_01_DENOMINATOR,S_002_01_NUMERATOR,S_013_01_NUMERATOR,S_005_01_DTC_OBS_RATE,S_005_01_DTC_RS_RATE_2_5,S_005_01_DTC_NUMBER,S_001_01_DENOMINATOR,S_002_01_ADJ_RATE,S_002_01_OBS_RATE,S_004_01_PPR_PD_VOLUME,S_005_01_DTC_VOLUME,S_013_01_OBS_RATE,S_001_01_OBS_RATE,S_002_01_DENOMINATOR,S_001_01_NUMERATOR,S_004_01_PPR_PD_RSRR,S_004_01_PPR_PD_OBS,S_006_01_MSPB_NUMB,S_006_01_MSPB_SCORE,S_004_01_PPR_PD_COMP_PERF,S_005_01_DTC_RS_RATE,S_005_01_DTC_COMP_PERF
7537,155042,40.19,Not Available,Not Available,Not Available,88,1,2,30.67,39.67,23,88,1.3,1.1,Not Available,75,2.3,90.9,88,80,Not Available,Not Available,61,1.25,Not Available,39.92,Worse than the National Rate
7538,155049,50.35,Not Available,Not Available,Not Available,112,0,3,50,49.7,51,112,0,0,Not Available,102,2.7,100,112,112,Not Available,Not Available,102,0.93,Not Available,50.03,Better than the National Rate
7539,155053,56.94,Not Available,Not Available,Not Available,60,0,0,53.7,56.16,29,60,0,0,Not Available,54,0,91.7,60,55,Not Available,Not Available,49,0.97,Not Available,56.55,Better than the National Rate
7540,155059,Not Available,Not Available,Not Available,Not Available,23,0,0,Not Available,Not Available,Not Available,23,0,0,Not Available,23,0,87,23,20,Not Available,Not Available,20,0.81,Not Available,Not Available,Not Available
7541,155061,32.41,Not Available,Not Available,Not Available,56,5,0,18.75,31.9,6,56,8.8,8.9,Not Available,32,0,100,56,56,Not Available,Not Available,21,0.82,Not Available,32.16,Worse than the National Rate
7542,155062,41.15,Not Available,Not Available,Not Available,42,0,1,30,40.61,12,42,0,0,Not Available,40,2.4,100,42,42,Not Available,Not Available,39,1.16,Not Available,40.88,Worse than the National Rate
7543,155064,50.8,Not Available,Not Available,Not Available,76,0,1,34.62,50.04,18,76,0,0,Not Available,52,1.3,97.4,76,74,Not Available,Not Available,63,1.22,Not Available,50.42,Better than the National Rate
7544,155066,54.37,Not Available,Not Available,Not Available,126,0,1,40,53.61,38,126,0,0,Not Available,95,0.8,99.2,126,125,Not Available,Not Available,82,1.47,Not Available,54,Better than the National Rate
7545,155070,36.2,Not Available,Not Available,Not Available,146,0,0,23.91,35.69,22,146,0,0,Not Available,92,0,100,146,146,Not Available,Not Available,98,0.84,Not Available,35.95,Worse than the National Rate
7546,155072,56.63,Not Available,Not Available,Not Available,135,1,1,43.97,55.85,51,136,0.7,0.7,Not Available,116,0.7,100,135,136,Not Available,Not Available,114,1.27,Not Available,56.26,Better than the National Rate
7547,155073,61.85,Not Available,Not Available,Not Available,61,2,0,65.22,61,30,61,6,3.3,Not Available,46,0,96.7,61,59,Not Available,Not Available,50,0.67,Not Available,61.45,Better than the National Rate
7548,155076,38.25,Not Available,Not Available,Not Available,51,0,0,26.32,37.66,10,51,0,0,Not Available,38,0,98,51,50,Not Available,Not Available,32,1,Not Available,37.94,Worse than the National Rate
7549,155077,25.73,Not Available,Not Available,Not Available,85,9,0,13.73,25.33,7,85,10.7,10.7,Not Available,51,0,100,84,85,Not Available,Not Available,55,0.97,Not Available,25.53,Worse than the National Rate
7550,155086,Not Available,Not Available,Not Available,Not Available,28,1,1,Not Available,Not Available,Not Available,28,3.9,3.6,Not Available,16,3.6,67.9,28,19,Not Available,Not Available,22,0.9,Not Available,Not Available,Not Available
7551,155089,41.62,Not Available,Not Available,Not Available,80,5,0,29.31,41.13,17,80,7.9,6.3,Not Available,58,0,96.3,80,77,Not Available,Not Available,53,1.25,Not Available,41.37,Worse than the National Rate
7552,395101,49.44,Not Available,Not Available,Not Available,235,5,1,45.37,48.81,93,235,2.8,2.1,Not Available,205,0.4,96.6,233,227,Not Available,Not Available,171,0.99,Not Available,49.12,Better than the National Rate
7553,395103,49.52,Not Available,Not Available,Not Available,116,1,1,40.79,48.91,31,116,0.9,0.9,Not Available,76,0.9,100,116,116,Not Available,Not Available,80,0.88,Not Available,49.2,Better than the National Rate
7554,395104,43.21,Not Available,Not Available,Not Available,116,3,1,33.72,42.69,29,116,2.9,2.6,Not Available,86,0.9,100,116,116,Not Available,Not Available,71,0.89,Not Available,42.97,Worse than the National Rate
7555,395105,38.18,Not Available,Not Available,Not Available,46,0,0,28.21,37.71,11,46,0,0,Not Available,39,0,100,46,46,Not Available,Not Available,38,1.43,Not Available,37.94,Worse than the National Rate
7556,395108,65.31,Not Available,Not Available,Not Available,287,7,0,65.13,64.48,155,287,2.8,2.4,Not Available,238,0,99,287,284,Not Available,Not Available,239,0.71,Not Available,64.91,Better than the National Rate
7557,395109,54.35,Not Available,Not Available,Not Available,64,0,1,53.13,53.54,17,64,0,0,Not Available,32,1.6,95.3,64,61,Not Available,Not Available,43,0.98,Not Available,53.94,Better than the National Rate
7558,395110,47.12,Not Available,Not Available,Not Available,183,1,1,34.78,46.49,40,183,0.5,0.5,Not Available,115,0.5,98.9,183,181,Not Available,Not Available,111,1.03,Not Available,46.82,Worse than the National Rate
7559,395117,58.3,Not Available,Not Available,Not Available,227,3,0,50.28,57.53,91,227,1.4,1.3,Not Available,181,0,99.1,227,225,Not Available,Not Available,188,0.78,Not Available,57.93,Better than the National Rate
7560,395118,33.37,Not Available,Not Available,Not Available,76,4,0,20,32.92,10,76,5.4,5.5,Not Available,50,0,96.1,73,73,Not Available,Not Available,46,1.16,Not Available,33.14,Worse than the National Rate
7561,395121,53.69,Not Available,Not Available,Not Available,85,1,0,43.4,52.87,23,85,1,1.2,Not Available,53,0,97.6,85,83,Not Available,Not Available,43,1.26,Not Available,53.27,Better than the National Rate
7562,395123,47.68,Not Available,Not Available,Not Available,46,1,0,29.03,46.97,9,46,2.2,2.2,Not Available,31,0,97.8,46,45,Not Available,Not Available,27,0.76,Not Available,47.32,Worse than the National Rate
7563,395134,11.67,Not Available,Not Available,Not Available,80,5,0,0,11.14,0,80,4.5,6.3,Not Available,78,0,95,80,76,Not Available,Not Available,67,0.68,Not Available,11.41,Worse than the National Rate
7564,395135,56.93,Not Available,Not Available,Not Available,106,2,2,41.77,56.15,33,106,2,1.9,Not Available,79,1.9,92.5,105,98,Not Available,Not Available,80,0.85,Not Available,56.55,Better than the National Rate
7565,395138,60.53,Not Available,Not Available,Not Available,170,3,2,48.51,59.72,65,170,2,1.8,Not Available,134,1.2,95.3,170,162,Not Available,Not Available,144,1.17,Not Available,60.12,Better than the National Rate
7566,395142,40.88,Not Available,Not Available,Not Available,90,3,0,30.36,40.33,17,90,3.5,3.3,Not Available,56,0,95.6,90,86,Not Available,Not Available,55,0.66,Not Available,40.61,Worse than the National Rate
7567,395146,53.36,Not Available,Not Available,Not Available,131,3,2,48.28,52.49,42,131,2.7,2.3,Not Available,87,1.5,95.4,131,125,Not Available,Not Available,77,0.76,Not Available,52.94,Better than the National Rate
7568,395148,34.62,Not Available,Not Available,Not Available,275,5,0,27.04,34.19,53,275,1.9,1.8,Not Available,196,0,98.9,275,272,Not Available,Not Available,182,0.9,Not Available,34.41,Worse than the National Rate
7569,395158,29.87,Not Available,Not Available,Not Available,82,0,0,18.64,29.49,11,82,0,0,Not Available,59,0,96.3,82,79,Not Available,Not Available,50,1.03,Not Available,29.68,Worse than the National Rate
7570,155093,37.66,Not Available,Not Available,Not Available,32,1,0,29.63,37.18,8,32,3.7,3.1,Not Available,27,0,100,32,32,Not Available,Not Available,28,0.68,Not Available,37.42,Worse than the National Rate
7571,155094,52.99,Not Available,Not Available,Not Available,62,2,0,44.19,52.26,19,62,3.5,3.2,Not Available,43,0,96.8,62,60,Not Available,Not Available,50,1.01,Not Available,52.61,Better than the National Rate
7572,155095,55.36,Not Available,Not Available,Not Available,151,2,0,42.2,54.61,46,151,1.2,1.3,Not Available,109,0,98,151,148,Not Available,Not Available,100,1.09,Not Available,54.99,Better than the National Rate
7573,155100,46.08,Not Available,Not Available,Not Available,109,7,2,42.22,45.55,38,109,7.1,6.4,Not Available,90,1.8,100,109,109,Not Available,Not Available,70,0.89,Not Available,45.82,Worse than the National Rate
7574,155102,53.67,Not Available,Not Available,Not Available,101,4,0,49.44,52.95,44,102,6.1,3.9,Not Available,89,0,100,102,102,Not Available,Not Available,95,0.89,Not Available,53.31,Better than the National Rate
7575,155103,52.36,Not Available,Not Available,Not Available,53,0,1,34.21,51.51,13,53,0,0,Not Available,38,1.9,100,53,53,Not Available,Not Available,46,1.1,Not Available,51.93,Better than the National Rate
7576,155104,59.84,Not Available,Not Available,Not Available,284,6,4,58.44,59.07,135,284,2.4,2.1,Not Available,231,1.4,99.6,284,283,Not Available,Not Available,228,0.75,Not Available,59.45,Better than the National Rate
7577,155106,31.46,Not Available,Not Available,Not Available,68,1,0,20.51,31.03,8,69,1.3,1.4,Not Available,39,0,97.1,69,67,Not Available,Not Available,40,1.22,Not Available,31.24,Worse than the National Rate
7578,155109,Not Available,Not Available,Not Available,Not Available,26,0,0,Not Available,Not Available,Not Available,26,0,0,Not Available,20,0,84.6,26,22,Not Available,Not Available,21,1.01,Not Available,Not Available,Not Available
7579,155115,48.99,Not Available,Not Available,Not Available,59,3,0,30.77,48.24,16,59,5,5.1,Not Available,52,0,100,59,59,Not Available,Not Available,46,0.59,Not Available,48.61,No Different than the National Rate
7580,155118,44.83,Not Available,Not Available,Not Available,49,2,0,39.53,44.22,17,49,6,4.1,Not Available,43,0,100,49,49,Not Available,Not Available,41,0.91,Not Available,44.51,Worse than the National Rate
7581,155120,49.3,Not Available,Not Available,Not Available,55,1,0,32.65,48.56,16,55,2,1.8,Not Available,49,0,92.7,55,51,Not Available,Not Available,52,0.98,Not Available,48.9,No Different than the National Rate
7582,155121,46.75,Not Available,Not Available,Not Available,138,3,0,32,46.04,32,138,2.1,2.2,Not Available,100,0,96.4,138,133,Not Available,Not Available,97,1.36,Not Available,46.4,Worse than the National Rate
7583,155124,45.56,Not Available,Not Available,Not Available,45,1,1,37.93,44.86,11,45,3.1,2.2,Not Available,29,2.2,100,45,45,Not Available,Not Available,31,1.29,Not Available,45.21,Worse than the National Rate
7584,155126,48.38,Not Available,Not Available,Not Available,45,0,0,40,47.74,20,45,0,0,Not Available,50,0,95.6,45,43,Not Available,Not Available,52,1.52,Not Available,48.07,Worse than the National Rate
7585,155128,58.02,Not Available,Not Available,Not Available,66,2,0,58,57.23,29,66,5.4,3.1,Not Available,50,0,98.5,65,65,Not Available,Not Available,54,0.89,Not Available,57.62,Better than the National Rate
7586,155131,38.05,Not Available,Not Available,Not Available,255,7,2,26.82,37.58,59,255,2.1,2.8,Not Available,220,0.8,98,254,250,Not Available,Not Available,183,1.24,Not Available,37.83,Worse than the National Rate
7587,155132,63.22,Not Available,Not Available,Not Available,117,0,0,60.98,62.31,50,117,0,0,Not Available,82,0,100,117,117,Not Available,Not Available,96,1.37,Not Available,62.8,Better than the National Rate
7588,395160,Not Available,Not Available,Not Available,Not Available,25,1,0,Not Available,Not Available,Not Available,25,3.5,4,Not Available,11,0,88,25,22,Not Available,Not Available,18,Not Available,Not Available,Not Available,Not Available
7589,395164,51.81,Not Available,Not Available,Not Available,121,2,0,45.35,51.13,39,121,1.8,1.7,Not Available,86,0,100,121,121,Not Available,Not Available,85,0.84,Not Available,51.48,Better than the National Rate
7590,395166,29.78,Not Available,Not Available,Not Available,97,1,1,15.94,29.33,11,97,1,1,Not Available,69,1,100,97,97,Not Available,Not Available,64,0.81,Not Available,29.54,Worse than the National Rate
7591,395167,22.91,Not Available,Not Available,Not Available,154,1,2,10,22.53,11,154,0.7,0.6,Not Available,110,1.3,51.3,154,79,Not Available,Not Available,90,1.17,Not Available,22.72,Worse than the National Rate
7592,395168,27.86,Not Available,Not Available,Not Available,118,5,1,19.54,27.53,17,118,4.1,4.2,Not Available,87,0.8,55.9,118,66,Not Available,Not Available,83,1.07,Not Available,27.69,Worse than the National Rate
7593,395171,45.55,Not Available,Not Available,Not Available,103,2,2,35.14,44.99,26,103,1.9,1.9,Not Available,74,1.9,75.7,103,78,Not Available,Not Available,76,0.77,Not Available,45.27,Worse than the National Rate
7594,395172,49.54,Not Available,Not Available,Not Available,161,4,0,38.81,48.88,52,161,2.8,2.5,Not Available,134,0,100,161,161,Not Available,Not Available,106,0.89,Not Available,49.23,Better than the National Rate
7595,395173,47.06,Not Available,Not Available,Not Available,266,5,3,31.98,46.38,55,266,1.8,1.9,Not Available,172,1.1,97.4,265,259,Not Available,Not Available,120,1.14,Not Available,46.74,Worse than the National Rate
7596,395174,Not Available,Not Available,Not Available,Not Available,37,3,1,Not Available,Not Available,Not Available,37,8.3,8.1,Not Available,20,2.7,91.9,37,34,Not Available,Not Available,20,1.34,Not Available,Not Available,Not Available
7597,395176,36.95,Not Available,Not Available,Not Available,65,0,0,24.39,36.42,10,65,0,0,Not Available,41,0,96.9,65,63,Not Available,Not Available,30,1.26,Not Available,36.69,Worse than the National Rate
7598,395177,24.87,Not Available,Not Available,Not Available,51,0,0,10,24.35,4,51,0,0,Not Available,40,0,100,51,51,Not Available,Not Available,33,1.02,Not Available,24.61,Worse than the National Rate
7599,395180,35.63,Not Available,Not Available,Not Available,61,0,0,29.31,35.15,17,61,0,0,Not Available,58,0,82,61,50,Not Available,Not Available,46,1.02,Not Available,35.39,Worse than the National Rate
7600,395182,58,Not Available,Not Available,Not Available,169,1,0,43.51,57.2,67,169,0.5,0.6,Not Available,154,0,88.8,169,150,Not Available,Not Available,125,0.75,Not Available,57.6,Better than the National Rate
7601,395188,50.06,Not Available,Not Available,Not Available,274,0,0,40,49.43,78,274,0,0,Not Available,195,0,99.3,274,272,Not Available,Not Available,168,1.05,Not Available,49.75,Better than the National Rate
7602,395193,23.95,Not Available,Not Available,Not Available,45,1,0,4,23.25,1,45,2.2,2.2,Not Available,25,0,100,45,45,Not Available,Not Available,20,0.98,Not Available,23.6,Worse than the National Rate
7603,395194,Not Available,Not Available,Not Available,Not Available,37,5,1,Not Available,Not Available,Not Available,37,11.2,13.5,Not Available,19,2.7,91.9,37,34,Not Available,Not Available,15,Not Available,Not Available,Not Available,Not Available
7604,395197,33.22,Not Available,Not Available,Not Available,61,0,0,23.08,32.82,12,61,0,0,Not Available,52,0,98.4,61,60,Not Available,Not Available,39,1,Not Available,33.02,Worse than the National Rate
7605,395199,45.5,Not Available,Not Available,Not Available,144,0,2,37.74,44.95,40,144,0,0,Not Available,106,1.4,99.3,144,143,Not Available,Not Available,110,0.92,Not Available,45.22,Worse than the National Rate
7606,155133,39.15,Not Available,Not Available,Not Available,138,2,2,27.66,38.64,26,138,1.8,1.5,Not Available,94,1.4,85.5,134,118,Not Available,Not Available,91,1.24,Not Available,38.91,Worse than the National Rate
7607,155135,49.59,Not Available,Not Available,Not Available,89,0,1,40.63,48.99,26,89,0,0,Not Available,64,1.1,98.9,89,88,Not Available,Not Available,61,1.23,Not Available,49.29,Better than the National Rate
7608,155136,49.27,Not Available,Not Available,Not Available,131,2,4,37.96,48.58,41,131,1.8,1.5,Not Available,108,3.1,92.4,131,121,Not Available,Not Available,92,1.05,Not Available,48.88,Better than the National Rate
7609,155137,26.31,Not Available,Not Available,Not Available,61,3,0,14.58,25.89,7,61,4.8,5,Not Available,48,0,85.2,60,52,Not Available,Not Available,42,1.12,Not Available,26.11,Worse than the National Rate
7610,155138,33.83,Not Available,Not Available,Not Available,80,0,1,22.92,33.25,11,80,0,0,Not Available,48,1.3,88.8,79,71,Not Available,Not Available,59,1.06,Not Available,33.52,Worse than the National Rate
7611,155139,47.99,Not Available,Not Available,Not Available,176,6,2,37.65,47.39,64,176,3.2,3.4,Not Available,170,1.1,97.2,176,171,Not Available,Not Available,149,1.14,Not Available,47.68,Worse than the National Rate
7612,155143,51.5,Not Available,Not Available,Not Available,173,4,4,38.89,50.81,56,173,3.3,2.3,Not Available,144,2.3,99.4,173,172,Not Available,Not Available,110,0.96,Not Available,51.18,Better than the National Rate
7613,155145,46.91,Not Available,Not Available,Not Available,30,2,2,35.71,46.15,10,30,8.1,6.7,Not Available,28,6.7,86.7,30,26,Not Available,Not Available,24,0.9,Not Available,46.54,Worse than the National Rate
7614,155148,51.98,Not Available,Not Available,Not Available,72,0,2,41.03,51.26,16,72,0,0,Not Available,39,2.8,100,72,72,Not Available,Not Available,56,1.31,Not Available,51.62,Better than the National Rate
7615,155149,56.05,Not Available,Not Available,Not Available,39,0,0,45.45,55.09,15,39,0,0,Not Available,33,0,100,39,39,Not Available,Not Available,33,0.99,Not Available,55.58,Better than the National Rate
7616,155150,Not Available,Not Available,Not Available,Not Available,35,0,0,Not Available,Not Available,Not Available,36,0,0,Not Available,21,0,91.7,35,33,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available
7617,155152,59.83,Not Available,Not Available,Not Available,58,3,1,51.02,58.97,25,58,5.1,5.2,Not Available,49,1.7,98.3,58,57,Not Available,Not Available,46,1.09,Not Available,59.42,Better than the National Rate
7618,155153,63.43,Not Available,Not Available,Not Available,285,6,3,56.22,62.55,122,285,2.3,2.1,Not Available,217,1.1,97.5,283,278,Not Available,Not Available,191,0.71,Not Available,62.99,Better than the National Rate
7619,155154,70.56,Not Available,Not Available,Not Available,54,1,2,64.86,69.4,24,54,1.6,1.9,Not Available,37,3.7,96.3,54,52,Not Available,Not Available,55,1.42,Not Available,69.97,Better than the National Rate
7620,155156,48.51,Not Available,Not Available,Not Available,208,1,4,43.29,47.88,71,208,0.5,0.5,Not Available,164,1.9,96.6,208,201,Not Available,Not Available,147,1.36,Not Available,48.2,Worse than the National Rate
7621,155157,54.42,Not Available,Not Available,Not Available,56,1,2,40.43,53.6,19,56,1.9,1.8,Not Available,47,3.6,100,56,56,Not Available,Not Available,58,0.8,Not Available,54.01,Better than the National Rate
7622,155158,28.55,Not Available,Not Available,Not Available,62,2,1,13.64,28.06,6,62,3.3,3.2,Not Available,44,1.6,91.9,62,57,Not Available,Not Available,46,1.45,Not Available,28.31,Worse than the National Rate
7623,155159,Not Available,Not Available,Not Available,Not Available,47,0,0,Not Available,Not Available,Not Available,47,0,0,Not Available,24,0,95.7,47,45,Not Available,Not Available,33,1.19,Not Available,Not Available,Not Available
7624,395200,49.38,Not Available,Not Available,Not Available,174,6,2,44.53,48.8,61,174,4.4,3.6,Not Available,137,1.1,94.3,169,164,Not Available,Not Available,121,0.85,Not Available,49.08,Better than the National Rate
7625,395202,Not Available,Not Available,Not Available,Not Available,20,0,0,Not Available,Not Available,Not Available,20,0,0,Not Available,9,0,100,20,20,Not Available,Not Available,10,Not Available,Not Available,Not Available,Not Available
7626,395203,48.92,Not Available,Not Available,Not Available,89,3,0,29.51,48.11,18,89,2.8,3.4,Not Available,61,0,100,89,89,Not Available,Not Available,47,1.06,Not Available,48.53,No Different than the National Rate
7627,395205,36.1,Not Available,Not Available,Not Available,92,2,1,23.33,35.62,14,92,1.7,2.2,Not Available,60,1.1,72.8,92,67,Not Available,Not Available,59,0.81,Not Available,35.87,Worse than the National Rate
7628,395206,48.51,Not Available,Not Available,Not Available,85,0,0,37.5,47.84,27,85,0,0,Not Available,72,0,96.5,85,82,Not Available,Not Available,70,0.96,Not Available,48.17,Worse than the National Rate
7629,395208,32.59,Not Available,Not Available,Not Available,87,0,1,20.63,32.15,13,87,0,0,Not Available,63,1.1,94.3,87,82,Not Available,Not Available,62,1.08,Not Available,32.37,Worse than the National Rate
7630,395217,41.99,Not Available,Not Available,Not Available,107,1,2,32.2,41.44,19,107,0.8,0.9,Not Available,59,1.9,100,107,107,Not Available,Not Available,54,1.12,Not Available,41.72,Worse than the National Rate
7631,395221,48.97,Not Available,Not Available,Not Available,73,0,0,43.1,48.32,25,73,0,0,Not Available,58,0,100,73,73,Not Available,Not Available,43,0.98,Not Available,48.63,No Different than the National Rate
7632,395223,42.45,Not Available,Not Available,Not Available,138,4,2,30.3,41.93,20,138,2.7,2.9,Not Available,66,1.4,95.7,138,132,Not Available,Not Available,72,0.88,Not Available,42.2,Worse than the National Rate
7633,395224,56.76,Not Available,Not Available,Not Available,82,1,1,51.35,55.95,38,82,1.3,1.2,Not Available,74,1.2,98.8,82,81,Not Available,Not Available,59,0.85,Not Available,56.35,Better than the National Rate
7634,395226,27.17,Not Available,Not Available,Not Available,102,0,1,13.85,26.76,9,102,0,0,Not Available,65,1,100,102,102,Not Available,Not Available,69,1.16,Not Available,26.98,Worse than the National Rate
7635,395227,55.26,Not Available,Not Available,Not Available,143,3,0,35.96,54.39,32,144,1.9,2.1,Not Available,89,0,95.8,144,138,Not Available,Not Available,73,1.22,Not Available,54.84,Better than the National Rate
7636,395228,48.68,Not Available,Not Available,Not Available,37,0,0,43.59,47.95,17,37,0,0,Not Available,39,0,97.3,37,36,Not Available,Not Available,38,0.89,Not Available,48.33,No Different than the National Rate
7637,395231,38.12,Not Available,Not Available,Not Available,75,3,0,25.53,37.66,12,75,3.6,4,Not Available,47,0,100,75,75,Not Available,Not Available,45,1.11,Not Available,37.89,Worse than the National Rate
7638,395232,Not Available,Not Available,Not Available,Not Available,26,0,0,Not Available,Not Available,Not Available,26,0,0,Not Available,15,0,73.1,26,19,Not Available,Not Available,14,Not Available,Not Available,Not Available,Not Available
7639,395237,32.68,Not Available,Not Available,Not Available,113,1,2,19.23,32.25,15,113,1,0.9,Not Available,78,1.8,96.5,113,109,Not Available,Not Available,81,1.22,Not Available,32.46,Worse than the National Rate
7640,395241,26.64,Not Available,Not Available,Not Available,84,2,2,16,26.26,8,84,2.4,2.4,Not Available,50,2.4,95.2,84,80,Not Available,Not Available,39,1.07,Not Available,26.45,Worse than the National Rate
7641,395243,56.04,Not Available,Not Available,Not Available,53,3,0,47.22,55.15,17,53,6,5.7,Not Available,36,0,100,53,53,Not Available,Not Available,26,1.17,Not Available,55.58,Better than the National Rate
7642,155160,42.07,Not Available,Not Available,Not Available,123,6,3,34.21,41.56,26,123,4.3,4.9,Not Available,76,2.4,97.6,123,120,Not Available,Not Available,74,1.42,Not Available,41.83,Worse than the National Rate
7643,155162,38.61,Not Available,Not Available,Not Available,45,0,0,26.67,38.12,8,45,0,0,Not Available,30,0,100,45,45,Not Available,Not Available,33,0.92,Not Available,38.37,Worse than the National Rate
7644,155165,25.83,Not Available,Not Available,Not Available,94,2,1,9.26,25.29,5,94,1.8,2.1,Not Available,54,1.1,100,94,94,Not Available,Not Available,64,1.5,Not Available,25.56,Worse than the National Rate
7645,155166,39.78,Not Available,Not Available,Not Available,66,7,0,19.12,39.22,13,66,9.2,10.6,Not Available,68,0,98.5,66,65,Not Available,Not Available,73,1.3,Not Available,39.49,Worse than the National Rate
7646,155167,61.51,Not Available,Not Available,Not Available,259,4,2,54.59,60.71,107,259,1.7,1.5,Not Available,196,0.8,99.2,259,257,Not Available,Not Available,187,1.07,Not Available,61.12,Better than the National Rate
7647,155170,62.56,Not Available,Not Available,Not Available,175,3,3,58.91,61.73,119,175,2.6,1.7,Not Available,202,1.7,100,175,175,Not Available,Not Available,173,0.95,Not Available,62.15,Better than the National Rate
7648,155171,53.45,Not Available,Not Available,Not Available,40,0,0,44.12,52.65,15,40,0,0,Not Available,34,0,100,40,40,Not Available,Not Available,37,1.26,Not Available,53.06,Better than the National Rate
7649,155173,49.72,Not Available,Not Available,Not Available,100,2,1,42.37,49,25,100,2.2,2,Not Available,59,1,96,100,96,Not Available,Not Available,65,0.9,Not Available,49.36,Better than the National Rate
7650,155176,42.38,Not Available,Not Available,Not Available,48,0,0,34.48,41.78,10,48,0,0,Not Available,29,0,91.7,48,44,Not Available,Not Available,41,1.29,Not Available,42.09,Worse than the National Rate
7651,155177,71.37,Not Available,Not Available,Not Available,137,8,2,76.24,70.35,77,137,8.5,5.8,Not Available,101,1.5,99.3,137,136,Not Available,Not Available,109,1.04,Not Available,70.85,Better than the National Rate
7652,155178,32.68,Not Available,Not Available,Not Available,56,8,0,19.44,32.21,7,56,14.7,14.3,Not Available,36,0,98.2,56,55,Not Available,Not Available,41,1,Not Available,32.44,Worse than the National Rate
7653,155181,51.9,Not Available,Not Available,Not Available,135,3,1,39.77,51.16,35,135,2.2,2.3,Not Available,88,0.7,90.4,129,122,Not Available,Not Available,91,1.22,Not Available,51.51,Better than the National Rate
7654,155183,47.64,Not Available,Not Available,Not Available,86,1,1,40.74,46.92,22,86,1.3,1.2,Not Available,54,1.2,93,86,80,Not Available,Not Available,52,1.39,Not Available,47.27,Worse than the National Rate
7655,155187,37.89,Not Available,Not Available,Not Available,177,5,1,23.33,37.37,35,177,2.3,2.9,Not Available,150,0.6,93.8,175,166,Not Available,Not Available,139,1.01,Not Available,37.63,Worse than the National Rate
7656,155188,58.76,Not Available,Not Available,Not Available,220,1,1,48.15,57.93,65,220,0.5,0.5,Not Available,135,0.5,91.4,219,201,Not Available,Not Available,158,1.19,Not Available,58.34,Better than the National Rate
7657,155191,47.4,Not Available,Not Available,Not Available,163,2,7,40.32,46.75,50,163,1.5,1.2,Not Available,124,4.3,99.4,163,162,Not Available,Not Available,108,1.14,Not Available,47.08,Worse than the National Rate
7658,155193,45.34,Not Available,Not Available,Not Available,270,1,1,31.13,44.67,47,270,0.4,0.4,Not Available,151,0.4,87,270,235,Not Available,Not Available,130,1.26,Not Available,45.01,Worse than the National Rate
7659,155196,59.49,Not Available,Not Available,Not Available,220,6,4,50,58.66,81,221,2.4,2.7,Not Available,162,1.8,92.8,221,205,Not Available,Not Available,132,1.27,Not Available,59.11,Better than the National Rate
7660,395244,58.47,Not Available,Not Available,Not Available,222,6,3,54.86,57.73,96,222,3.3,2.7,Not Available,175,1.4,96.8,222,215,Not Available,Not Available,156,1.01,Not Available,58.1,Better than the National Rate
7661,395247,48.68,Not Available,Not Available,Not Available,65,2,1,35.71,48.05,15,65,3.1,3.1,Not Available,42,1.5,93.8,64,61,Not Available,Not Available,37,0.73,Not Available,48.35,No Different than the National Rate
7662,395248,33.16,Not Available,Not Available,Not Available,41,0,0,17.24,32.66,5,41,0,0,Not Available,29,0,90.2,41,37,Not Available,Not Available,35,0.78,Not Available,32.91,Worse than the National Rate
7663,395249,37.32,Not Available,Not Available,Not Available,143,5,0,26.97,36.87,24,143,3.7,3.5,Not Available,89,0,100,143,143,Not Available,Not Available,82,1.02,Not Available,37.09,Worse than the National Rate
7664,395250,58.29,Not Available,Not Available,Not Available,398,8,0,48.48,57.51,160,398,2.4,2,Not Available,330,0,98.7,398,393,Not Available,Not Available,302,0.69,Not Available,57.88,Better than the National Rate
7665,395251,43.61,Not Available,Not Available,Not Available,124,3,1,29.07,42.95,25,124,2.4,2.4,Not Available,86,0.8,98.4,124,122,Not Available,Not Available,79,1.03,Not Available,43.29,Worse than the National Rate
7666,395252,37.34,Not Available,Not Available,Not Available,77,0,0,27.94,36.86,19,77,0,0,Not Available,68,0,98.7,77,76,Not Available,Not Available,61,1.02,Not Available,37.11,Worse than the National Rate
7667,395256,Not Available,Not Available,Not Available,Not Available,37,0,0,Not Available,Not Available,Not Available,37,0,0,Not Available,20,0,89.2,37,33,Not Available,Not Available,27,0.99,Not Available,Not Available,Not Available
7668,395258,40.87,Not Available,Not Available,Not Available,160,0,0,27.62,40.32,29,160,0,0,Not Available,105,0,98.1,160,157,Not Available,Not Available,82,0.94,Not Available,40.61,Worse than the National Rate
7669,395259,48.14,Not Available,Not Available,Not Available,134,2,0,38,47.43,38,134,1.4,1.5,Not Available,100,0,88.1,133,118,Not Available,Not Available,77,1.17,Not Available,47.79,Worse than the National Rate
